,oare_id,label,excavation_no,transliteration,pdf
4223,8b7ff8b5-f277-47f1-91e3-39c5161b5c4a,Cuneiform Tablet Kt 94/k 600b (AKT 6d 739),Kt 94/k 600b,um-ma a-šùr-gi-im-lí-ma a-na a-zu-ú iš-ta-aḫ-šu ú ni-wa-la qí-bi4-ma 10 GÍN AN.NA a-lu-wa na-áš-a-ku-nu-tí na-aḫ-lá-áp-tám ša ṣú-uḫ-ri-im a-mur-a-šur ub-lá-ku-nu-tí tí-ir-tí ma-lá ú 2 ší-ni-šu i-li-kà-ku-nu-tí a-tù-nu šu-lu-um-ku-nu ma-tí-ma lá i-li-<gap>-kam ú šu-ma ša-ḫi-re-en lá tù-šé-lá-nim tí-ir-ta-ak-nu-ma li-li-kam iš-tí a-li-ki-im pá-ni-im-ma ki-ma ṭup-pá-am ta-áš-me-a-ni tí-ir-ta-ak-nu li-li-kam ú ší-né-en <gap> a-na ma-ḫa-tí-a šé-bi4-lá-nim,6d
4225,8c05dfd0-ad5c-4dba-b28b-cac473e87c46,Cuneiform Tablet Kt 94/k 758 (AKT 6c 576),Kt 94/k 758,a-na a-lá-ḫi-im qí-bi-ma um-ma PUZUR4-a-šur-ma áš-pu-ra-ku a-dí ma-lá ù ší-ni-šu um-ma a-na-ku-ma 0.83333 ma-na 1 GÍN KÙ.BABBAR a-dí-da li-dí-na-ku 0.5 ma-na ma-nu-ba 0.33333 ma-na 1 GÍN a-lá-ḫu-um ša É pá-na-kà KÙ.BABBAR i-dí-nu-ni-ku lá i-dí-nu-ni-ku tí-ir-ta-kà ma-tí-ma lá i-li-kam a-ḫi a-ta KÙ.BABBAR ša-áš-qí-il5-šu-nu-ma ù tí-ir-ta-kà li-li-kam 3.33333 GÍN KÙ.BABBAR a-šur-i-dí DUMU a-mur-a-šur ḫa-bu-lam e-ri-šu-ma pí-ri-kà-nam a-na am-tim ša-a-am tí-sà-ba-am ṣú-ba-sà a-zu a-na li-ta-áb-ší-a lu-ub-lam mì-šál sà-ar-dam a-zu lu-ub-lam,6c
4226,8c167b5b-efde-466d-a6d2-06faf49a637c,Cuneiform Tablet Kt 92/k 138 (AKT 8 348),Kt 92/k 138,i-na 1-ma-na KÙ.BABBAR ša a-na a-lim{ki} a ší-a-ma-tim be-lá-num ú-šé-bi-lá-ni ŠÀ.BA 0.66666 ma-na KÙ.BABBAR a-na ik-ri-bi4-a ša a-šur i-lá-ak IGI a-šur-du-ri DUMU PUZUR4.IŠTAR,8
4228,8c1f39b5-5b71-4171-b0ef-d4db031a5802,Cuneiform Tablet Kt 91/k 453 (AKT 8 179),Kt 91/k 453,IŠTAR-lá-ma-sí ší-im-ta-ša ta-ší-im-ma i-na 1 ma-na LÁ 3 GÍN KÙ.BABBAR ša i-ba-ší-ú-ni 0.5 ma-na 7 GÍN ì-lí-a i-lá-qé 0.33333 ma-na {d}NIN.ŠUBUR-ba-ni i-lá-qé 2.25 GÍN KÙ.GI ù 7.5 GÍN KÙ.BABBAR ù ku-nu-kam a-na DUMU.MÍ-i-a gu5-ba-ab-tim ú-šé-bu-lu 0.5 ma-na KÙ.BABBAR ša É-tù uk-ta-lu 15 GÍN KÙ.BABBAR a-lá+lá-<gap> É-tù ša uk-ta-lu ṭup-pu-šu-nu a-na ì-lí-a i-za-zu lu-qú-tum ša a-bi-šu-nu a-na ki-lá-le-šu-nu i-za-zu ID-<gap> ša-bu-a-at <gap> ta-lá-qé qá-áb-li-tám ša 1 ma-na ì-lí-a i-lá-qé mu-ša-lam ù šu-ga-ri-a-am {d}NIN.ŠUBUR-ba-ni i-lá-qé IGI ma-ṣí-ì-lí IGI PUZUR4.IŠTAR IGI en-um-a-šur,8
4229,8c642236-1945-4be7-9ac2-49092300c99e,Cuneiform Tablet Kt 91/k 442 (AKT 8 343),Kt 91/k 442,3 DUG GIG 3.6666600000000003 GÍN 15 ŠE áš-qúl 1 na-ru-uq še-im <gap> 3 GÍN áš-qúl 1.5 GÍN a-na UDU 0.5 GÍN a qá-nu-e ša šu-ru-up-tim áš-qúl 0.5 GÍN a-na bi-lá-tim e-ṣé áš-qúl 0.16666 GÍN a Ì.NUN áš-qúl 1.5 GÍN a-na še-im 2 DUG áš-qúl 1.25 GÍN a-na 1 DUG GIG áš-qúl 0.33333 GÍN a-na e-ṣé bi-lá-tim áš-qúl,8
4230,8c737557-7e47-4193-a739-13e261a9ea99,Cuneiform Tablet Kt 94/k 1510 (AKT 6e 1111),Kt 94/k 1510,0.5 ma-na 3 GÍN KÙ.BABBAR ší-im a-ma-tim i-na li-bi <gap>-an i-na tù-wa-ri-šu KÙ.BABBAR i-ša-qal,6e
4231,8c515281-5607-4490-9042-1eaeaf7221fb,Cuneiform Tablet Kt 94/k 887b (AKT 6d 845),Kt 94/k 887b,i-ku-pí-a a-na i-dí-a-šur iṣ-ba-at-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na i-dí-a-šùr-ma 40 GÚ URUDU SIG5 ša um-me-a-nu i li-bi4-kà iṣ-bu-tù-ni a-na-ku a-ḫu-a ù É a-bi4-a ú-lá ni-tù-ra-kum a-na a-wa-tim a-ni-a-tim kà-ru-um dur4-ḫu-mì-it ni-dí-in IGI ba-ba-zu-a IGI DU10-ṣí-lá-a-šur IGI šu-IŠTAR,6d
4232,8c794e54-6715-484d-adda-e0f0da5b6e12,Cuneiform Tablet Kt 94/k 1482 (AKT 6e 1099),Kt 94/k 1482,ša 5 ḫa-me-eš qá-ta-tim ša i-tur4-DINGIR ù en-na-nim 13 GÚ.TA SÍG 65 GÚ SÍG.ḪI.A ù 56 maš-ku-TA ŠU.NÍGIN 2 me-at 80 maš-ku mì-ma a-nim am-ḫu-ur ŠÀ 1 GÚ SÍG.ḪI.A a-na i-tur4-DINGIR 1 GÚ en-na-num il5-qé 30 ma-na a-na qá-ra-bi-tim ú 16 maš-ki a-ḫa-ma 5 GÚ 50 ma-na bé-lá-num i-dí-nam ŠÀ.BA 5 GÚ a-na ir-i-bi-im a-dí-in 40 ma-na a-na i-dí-sú-in a-dí-in ší-tí-tum ku-nu-ku-a i-ba-ší-ú,6e
4236,8d328800-b327-4cae-9821-00b7e19ad967,Cuneiform Tablet Kt 94/k 967 (AKT 6c 592),Kt 94/k 967,a-na PUZUR4-a-na a-lá-ḫi-im ù ma-nu-ki-a-šur a-na a-lá-ḫi-im qí-bi-ma um-ma zu-ku-a-ma ta-áš-pu-ra-am um-ma a-ta-ma KÙ.BABBAR ša li-bi-kà šé-bi-lam 1 ma-na 0.75 GÍN KÙ.BABBAR ŠÀ.BA 0.5 GÍN KÙ.BABBAR a-na qá-tí ì-lí-áš-ra-ni a-dí-in ku-nu-ki-a a-lá-ḫu-um DUMU a-šur-ba-ni na-áš-a-kum 1 ta-ma-lá-kam ŠÀ.BA 1.66666 ma-na kà-sà-tum ša KÙ.BABBAR ú 5.5 GÍN i-lu-ú ša KÙ.KI mì-ma a-nim ku-nu-ki-a a-na na-áb-ší-e-em e-zi-ba-kum a-ša-me-ma a-na a-lim{ki} ḫa-ra-kà i-na u4-mì-im ša a-na a-lim{ki} ta-ta-lu-ku ta-ma-lá-kà-am ku-nu-ki-a šu-ma ma-nu-ki-a-šùr sá-ḫe-er a-šar šu-a-tí e-zi-ba šu-ma ma-nu-ki-a-šùr lá sá-ḫe-er a-šar ta-dá-ga-lá-ni-ma DUMU um-me-a-nim ke-nim lá ša ša-ḫa-tim wa-áš-bu ta-ma-lá-kà-am ku-nu-ki-a pí-iq-da a-ḫu-ú-a a-tù-nu i-na u4-mì-im ša a-šar ta-ma-lá-kà-am ku-nu-ki-a té-zi-ba-ni tí-ir-ta-ku-nu li-li-kam-ma úz-ni pé-té-a a-na a-lá-ḫi-im qí-bi-ma ṣú-ba-tám ša tù-šé-bi-lá-ni a-dí ma-lá ú ší-ni-šu ú-kà-li-im iš-tù ší-im-šu ba-at-qám ú-kà-lu-ú ṣú-ba-tám i-na ku-nu-ki-kà-ma ì-lí-áš-ra-ni ṣú-ḫa-ar-kà na-áš-a-ku-um,6c
4238,8da86869-a26d-46cf-861f-3f5791ae36da,Cuneiform Tablet Kt 94/k 1213 (AKT 6d 774),Kt 94/k 1213,a-na i-tur4-DINGIR qí-bi-ma um-ma ḫa-na-a ú a-bu-mì-lúm-ma 20 ma-na KÙ.BABBAR ku-nu-ki-kà ḫa-na-a ub-lam ni-is-ni-iq-šu-ma 5 GÍN im-ṭí 1 me-at <gap> TÚG 6.33333 ma-na 7 GÍN KÙ.BABBAR it-bu-lu 2.5 GÚ 5 ma-na AN.NA 9.83333 ma-na KÙ.BABBAR 15.75 GÍN.TA it-ba-al 2 GÚ 10 ma-na AN.NA ku-nu-ki 25 ma-na AN.NA AN.NA-ak qá-tim 4 ANŠE.ḪI.A ṣa-lá-mu 1.3333300000000001 ma-na KÙ.BABBAR it-bu-lu 10 GÍN ú-nu-ut ANŠE ú ú-ku-ul-ta-áš-nu 1 ma-na 4 GÍN KÙ.BABBAR bé-ú-lá-at 2 kà-ṣa-ri a-mur-IŠTAR il5-qé 10 GÍN wa-ṣí-tum 10 GÍN té-ṣú-bi 1.5 GÍN ša sà-i-tim <gap> GÍN 2 a-bar-ni-e KÙ.BABBAR-áp-kà gám-ra-ku-um mì-ma a-nim a-mur-IŠTAR i-ra-dí-a-kum lu-qú-ut-kà ša-al-ma-at-ma iš-tí ma-sú-e ša ú-nu-ut-kà a-bu-kà-ni ša-lim-a-ḫu-um i-li-kam,6d
4239,8dad8a7c-a628-432a-9058-e66805874554,Cuneiform Tablet Kt 94/k 1107 (AKT 6e 1056),Kt 94/k 1107,0.66666 ma-na 6 GÍN KI šu-nu-nu DUMU pá-zu-zu 1 ma-na KÙ.BABBAR en-um-a-šur DUMU ku-ur-ku-ur,6e
4242,8e4f43fb-9b4f-4b36-a9ec-d317be6aad1b,Cuneiform Tablet Kt 91/k 433 (AKT 8 178),Kt 91/k 433,15 GÍN KÙ.BABBAR iš-tù ḫa-muš-tim ša <gap> ITU.KAM áb-ša-ra-ni É DAM.GÀR 1 GÍN.TA a ṣí-ib-tim al-qé-ma a-dí-šu-um 0.5 GÍN KÙ.BABBAR a-ḫa-ma ú-ku-ul-tí ÌR a-šar ú-kà-i-lu-šu-ni a-dí-in ur-ki-tám ÌR i qá-tí ú-ṣú-ur-pì-a-šur e-bu-ut-ma 3 GÍN KÙ.BABBAR a-na É nu-a-im áš-qúl ÌR ú-šé-ṣí-am GÉME-tám ša ṣú-ḫa-ar-tim ša i-dí-in kà-ri-im ta-da-nam lá qá-bi-ú-ni ú-ṣú-ur-pì-a-šur ú-da-bi-sí-ma it-bi-ma i-lá-ak,8
4243,8e5773e5-1228-4b64-88e3-3315e9fc6fba,Cuneiform Tablet Kt 94/k 803 (AKT 6b 395),Kt 94/k 803,um-ma a-lá-a-ma ù šé-ep-IŠTAR-ma a-na tám-kà-ri-im qí-bi4-ma 6.83333 ma-na KÙ.BABBAR ší-im-tám ni-il5-qé a-ḫa-ma ṣí-ib-tám 0.66666 ma-na 1 GÍN KÙ.BABBAR ša 4 ḫa-am-ša-tim 12 GÍN ki-ib-sà-tim ša 6 ma-na KÙ.BABBAR 5.25 GÍN ŠÀ.BA ab-num ša É kà-ri-im ŠU.NÍGIN 0.83333 ma-na 8.25 GÍN KÙ.BABBAR a-ṣé-er ší-im-tim iṭ-ḫi-i i-na ke-ni-im a-na KÙ.BABBAR ša li-bi4-kà 0.33333 ma-na 4.5 GÍN KÙ.BABBAR pì-lá-aḫ-IŠTAR DUMU a-šur-SIPA ik-lá um-ma a-lá-a-ma 0.33333 ma-na KÙ.BABBAR a-na ḫu-bu-li-kà a-na en-um-a-šur DUMU šu-{d}EN.LÍL áš-qúl 5 GÍN KÙ.BABBAR šé-ep-IŠTAR il5-qé a-ma-kam lu-ba-li-ṭá-ku-um 7 ma-na KÙ.BABBAR ku-nu-ki-ni a-šur-e-nam DUMU {d}UTU-ba-ni na-áš-a-ku-um a-ḫi a-ta ki-ma KÙ.BABBAR ta-al-qé-ú-ni ṭup-pá-am ša ḫu-bu-li pì-lá-aḫ-IŠTAR a-na a-šur-e-nam dí-in-ma ṭup-pá-am a-ṣé-ri-a šu-up-ra-nim-ma ṭup-pu-ú KI ki-lá-lá+lá-<gap> li-mu-tù ú KÙ.BABBAR a-šu-mì pì-lá-aḫ-IŠTAR GÁN-lam5 e-tí-iq,6b
4244,8e6f8e72-25e0-44fe-a498-4818636a8861,Cuneiform Tablet Kt 94/k 799 (AKT 6c 691),Kt 94/k 799,a-na a-lá-ḫi-im qí-bi-ma um-ma <gap> šu-ma ta-dá-gal <gap> ni-sà-ri-dam-ma lá ni-ba-ri <gap> 3 e-ri-qá-tí-im <gap> tí-ib-na-am-<gap> i-na qá-tí <gap> bi uš a dí ga <gap> um-ma a-ta-ma <gap> KÙ.BABBAR ša-qá-lam5 lá i-mu-a i-<gap> KÙ.BABBAR ša-áš-qí-il5-šu <gap> 5 ú-me-e ú-ta-<gap> šu-ma <gap> tù-um <gap> lá <gap> AN.NA ù <gap> ù 10 TÚG.ḪI.A na-<gap> ú <gap> ta ma ú <gap> tí a <gap> ṣé-ri-<gap> iš-tù za-al-pá i-lá-kà-kum ù-lá a-na-ku-ma e <gap> ur kam,6c
4245,8e7d176d-b52a-41cf-838b-b8a74be3a00d,Cuneiform Tablet Kt 91/k 495 (AKT 8 300),Kt 91/k 495,KIŠIB IŠTAR-pá-li-il5 DUMU šu-ku-bi4-im KIŠIB ni-mar-IŠTAR DUMU ba-la KIŠIB a-bu-ša-lim DUMU ì-lí-a-lúm 0.5 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er IŠTAR-pá-li-il5 DUMU šu-ku-bi4-im DAM.GÀR-ru-um i-šu iš-tù ḫa-muš-tim ša {d}EN.LÍL-ba-ni ITU.KAM ṭí-i-na-tim 1 GÍN.TA i-na ITU.KAM a-na KÙ.BABBAR a-nim ṣí-ib-tám ú-ṣa-áb li-mu-um ḫa-na-na-ru-um KIŠIB IŠTAR-pá-li-il5 DUMU šu-ku-bi4-im KIŠIB a-šùr-iš-ti-kál DUMU ḫi-na-a KIŠIB a-lá-ḫi-im DUMU sú-sà-a-a KIŠIB PÚZUR.IŠTAR DUMU šu-ku-bi4-im KIŠIB be-lúm-ba-ni DUMU ga-zi-a KIŠIB áb-ša-lim DAM a-lá-ḫi-im 0.5 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er IŠTAR-pá-li-il5 áb-ša-lim DAM a-lá-ḫi-im ù DUMU-e a-lá-ḫi-im DAM.GÀR i-šu iš-tù ḫa-mu-uš-tim ša ḫa-na-a ITU.KAM kán-war-ta 1.5 GÍN.TA ṣí-ib-tám i-na ITU.KAM a-na 1 ma-na-im ú-ṣú-bu KÙ.BABBAR i qá-qá-ad šál-mì-šu-nu ú ke-ni-šu-nu ra-ki-is li-mu-um ḫa-na-na-ru-um i ša-ḫa-at áb-ša-lim ú me-er-e a-lá-ḫi-im be-lúm-ba-ni DUMU ga-zi-a i-zi-iz ṭup-pá-am ša 24.5 ma-na 5 GÍN AN.NA ša šu-mì tám-kà-ri-im wa-du a ša-pár-tim na-di-ma KÙ.BABBAR a-num a šu-mì a-lá-ḫi-im lá-qé KIŠIB a-šùr-ta-ak-lá-ku DUMU qar-da-a-a KIŠIB DU10-ṣí-lá-a-šùr DUMU a-šùr-ba-lá-ṭí KIŠIB da-da-a DUMU ni-mar-IŠTAR 6.5 ma-na 5 GÍN AN.NA ku-uk-ru 4 TÚG.ḪI.A i-ṣé-er da-da-a-a DUMU ni-mar-IŠTAR DAM.GÀR i-šu iš-tù ḫa-mu-uš-tim ša a-šùr-ta-ak-lá-ku DUMU a-lá-ḫi-im a-na 16 ḫa-am-ša-tim i-ša-qal šu-ma i-na u4-mì-šu ma-al-ú-tim lá iš-qú-ul 1.5 GÍN.TA ṣí-ib-tám i-na ITU.KAM ú-ṣa-áb ITU.KAM ku-zal-li li-mu-um ma-ṣí-ì-li AN.NA šál-ma-am ba-lúm da-tim ú ta-ší-a-tim i-ša-qal,8
4246,8eb60135-fe29-4a3b-bad6-8f629e15e0b7,Cuneiform Tablet Kt 94/k 923 (AKT 6e 895),Kt 94/k 923,<gap> šu-a-<gap> um-ma <gap> en-nam-a-šur <gap> bi-ma <gap> tám-kà-ri-im <gap> ḫu-a <gap> KÙ.BABBAR IGI e-ni-iš-ta-ru-um <gap> ni AN.NA-ki <gap> ší-a-ni <gap> ma <gap> ku-un-kà-ma a-na e-ni-iš-ta-ri-im dí-na-ma iš-tí ba-tí-qí-im ša a-na pá-ni ILLAT-tim i-lá-kà-ni lá i-sà-ḫu-ur ṭù-ur-da-ni-šu a-na-kam we-da-ku a-ḫu-a a-tù-nu e-ni-iš-ta-ra-am lá i-sà-ḫu-ur ṭù-ur-da-ni-šu mì-li-ik lu-qú-tim <gap> bi-ri-im mì-il5-kà sà-ḫe-er-tám ša 5 GÍN KÙ.BABBAR <gap> nim a-na ší-im <gap> mì-li-ik-šu-nu mì-il5-kà,6e
4248,8f112e7c-a390-40ee-999c-a817f5370338,Cuneiform Tablet Kt 92/k 150 (AKT 8 139),Kt 92/k 150,5 GÍN KÙ.BABBAR a-na DUMU.MÍ ḫi-na-a 10 GÍN a-na DUMU.MÍ a-šur-ni-šu 3 GÍN a-na DUMU.MÍ i-dí-na-bi-im DUMU ba-la 1 GÍN a-na lá-ma-sí ša IŠTAR-pu-úz-ri 0.66666 ma-na KÙ.BABBAR šé-bu-ul-ta-ša a-na lá-ma-sí DUMU.MÍ a-šur-{d}UTU-ši a-dí-in 5.5 GÍN a-na um-mì-iš-ḫa-ra 4 ri-ik-sú ku-nu-ki-a a-na É a-lá-ḫi-im ù zi-kur-ì-lí mì-ma a-nim IGI da-dí-a áp-qí-id 2 ri-ik-sí ša šu-be-lim DUMU a-šur-be-el-a-wa-tim na a-ḫa-ti-šu ù DUMU.MÍ-tí-šu IGI a-ta-a áp-qí id,8
4250,8f46f357-9971-427f-ac9a-7de23c9ce3a5,Cuneiform Tablet Kt 91/k 389 (AKT 8 297),Kt 91/k 389,KIŠIB ni-mar-IŠTAR DUMU ba-lá KIŠIB en-um-a-šur DUMU i-dí-sú-en6 KIŠIB en-um-a-šur DUMU e-lá-ma i-dí-IŠTAR ù {d}NIN.ŠUBUR i-mì-ig-ru-ma É-tù ša kà-ni-iš ù ú-tù-up-tum ša i-dí-IŠTAR {d}NIN.ŠUBUR lá ṭá-ḫu a-na ḫu-bu-ul a-bi-šu-nu ki-la-la-šu-nu-ma i-za-zu a-na qú-bu-ur bu-zu-ur um-mì-šu-nu a-na gám-ri-im ù ḫu-bu-ul bu-zu-ur um-mì-šu-nu i-dí-IŠTAR-ma i-za-az i-nu-mì ša i-na a-lim i-za-ku-ú-ni É-tù ša kà-ni-iš lá i-ša-ku-nu,8
4253,8fc2c6a8-f201-4e7a-b073-178d57436202,Cuneiform Tablet Kt 94/k 858b (AKT 6c 671),Kt 94/k 858b,um-ma ḫa-nu-nu li-ip-tí-IŠTAR ú-ṣur-ša-IŠTAR-ma a-na a-lá-ḫi-im qí-bi-ma i-na 11 ma-na 7.5 GÍN KÙ.BABBAR-pí-kà ša iš-tù pu-ru-uš-ḫa-dim ub-lu-ni-ni a-na ma-la tí-ir-tí-kà a-na ṭup-pì-kà ša 7.33333 ma-na 5 GÍN KÙ.BABBAR ša a-na zu-ku-a ḫa-bu-lá-tí-ni u4-mu-kà 3 ITU.KAM i-tí-qú-ma i-na-aḫ-DINGIR i-dí-ku-ba-am ú-ša-ḫi-it-ma ša 2 ITU.KAM ú ša-pá-tim 17.5 GÍN KÙ.BABBAR ṣí-ib-tim il5-qé 2 GÍN.TA a-na ma-na-im ki-ib-sá-tim il5-qé ṭup-pá-am ša ku-nu-ki-kà nu-šé-ṣí-a-ma ni-il5-té-šu-ma i li-bi ṭup-pí-kà i-na É i-na-aḫ-DINGIR ni-iš-ku-un ší-tí KÙ.BABBAR-pí-kà 3 ma-na 10 GÍN KÙ.BABBAR a ma-lá tí-ir-tí-kà É i-na-aḫ-DINGIR nu-šé-ṣí-a-ma i-na 5 GÚ URUDU ša tù-šé-bi-lá-ni ŠÀ.BA 13 ma-na URUDU a-na gám-ri-im ša ḫa-ra-nim ú-ku-ul-tí ANŠE.ḪI ir-nu-id il5-qé ší-im 4 GÚ 47 ma-na URUDU-i-kà 0.66666 GÍN 15 ŠE KÙ.BABBAR-áp-šu 3.5 ma-na 5 GÍN 0.5 ma-na 2 GÍN KÙ.BABBAR ší-im 2 ANŠE.ḪI-kà ŠÀ.BA 17 GÍN KÙ.BABBAR ší-im 1 ANŠE.ḪI ša a-na en-na-nim DUMU a-bi-a ḫa-bu-lá-tí-ni ni-iš-qúl 5 GÍN KÙ.BABBAR a-na am-tí-kà ni-dí-in 4 GÍN KÙ.BABBAR a-na ú-ṣur-ša-IŠTAR ni-dí-in 1.5 GÍN na-áb-ri-tí ANŠE.ḪI 3 GÍN ki-ib-sá-at KÙ.BABBAR ša É i-na-aḫ-DINGIR nu-šé-ṣí-a-ni a ší-im AN.NA ni-ik-bu-us 16.66666 GÍN ší-im 2 ší-na ku-ta-ni lu KÙ.BABBAR ša É i-na-aḫ-DINGIR nu-šé-ṣí-a-ni lu KÙ.BABBAR ší-im URUDU-kà iš-té-ni-iš iš-tù KÙ.BABBAR a-na ZI.GA nu-ša-qí-lu 6.66666 ma-na 5.5 GÍN KÙ.BABBAR iz-ku-am-ma 6.33333 ma-na 8.5 GÍN KÙ.BABBAR a ší-im AN.NA ni-iš-qúl-ma 8.5 GÍN.TA 55 ma-na 4.5 GÍN AN.NA ni-iš-a-ma-kum 16.66666 GÍN KÙ.BABBAR-áp-kà i-ší-ta-ma 2 ku-ta-ni a-na KÙ.BABBAR-pì-kà ni-iš-a-ma-kum 55 ma-na 4.5 GÍN AN.NA ú 2 ku-ta-ni ú ṭup-pá-am ša sà-li-a mì-ma a-nim ku-nu-ki-ni ú-ṣur-ša-IŠTAR na-áš-a-ku-um lu KÙ.BABBAR ša iš-tù pu-ru-uš-ḫa-dim uṣ-a-ni lu ší-im URUDU-i-kà lu-qú-ut-kà ga-am-ra-at-ku-um ú ANŠE.ḪI-kà,6c
4254,8feaa558-e220-4ff0-be47-ea6d4c3c531c,Cuneiform Tablet Kt 94/k 618 (AKT 6b 451),Kt 94/k 618,a-na en-um-a-šùr qí-bi4-ma um-ma tù-ta-a-ma iš-ra-am ša a-na um-ma-za ta-dí-na-ni-ni a-na-ku ù šu-ut i-na ga-bar-tí ḫa-ra-nim ni-mì-ḫi-ir-ma iš-ra-am lá a-dí-šu-um té-er-ta-kà li-li-kam-ma a-šar pá-nu-im pá-ni-ší a-ḫi a-ta ar-ša-tim kà-ar-pá-at a-na qá-tí-im dí-in,6b
4255,900268f4-4b28-4633-925f-aaa0fdf7c097,Cuneiform Tablet Kt 94/k 662 (AKT 6b 300),Kt 94/k 662,um-ma en-um-a-šur-ma a-na a-na-a-na qí-bi-ma a-na-kam a-ba-ru-um ša i-tur4-DINGIR iḫ-li-iq-ma 1 GÍN 15 ŠE KÙ.BABBAR a-na ša-lim-bé-lí ṣú-ḫa-ri-šu a-dí-in a-ma-kam KÙ.BABBAR ša-lim-bé-lí li-dí-na-ki-im a-pu-tum a-ma-kam lu a ba-ba-tí lu a-na É-be-tí-a lá ta-ša-li-ṭí a-wa-tí ša ì-lí-dan i-dí-a-šur ù šu-IŠTAR al-té-qé ḫa-ra-ni a-ta-lá-kam a-dí en-na-sú-in ša-li-ma šu-ma iš-tù a-lim{ki} i-ta-ṣa-am úz-ni pé-té-a,6b
4258,9006441d-52a5-4541-9980-272ef4f85f9c,Cuneiform Tablet Kt 94/k 1541 (AKT 6c 590),Kt 94/k 1541,a-na a-la-ḫi-im DUMU šál-ma-a-šur KIŠIB PUZUR4-a-šur DUMU a-šur-dan,6c
4262,90656390-b0c2-42c4-af4a-b43a4414f7f3,Cuneiform Tablet Kt 94/k 798 (AKT 6b 457),Kt 94/k 798,a-na ša 2.5 ma-na <gap> KÙ.BABBAR ṣa-ru-pì-im ú ṣí-ba-tí-šu ša a-da-da ḫa-bu-lá-ku-ni ni-kà-sí ni-sí-ma <gap> ma-na KÙ.BABBAR ṣa-ru-pá-am ú 1 ku-ta-nam i-na pì ṭup-pí-šu a-na a-lá-ḫi-im i-da-an a-ḫa-ma a-na 1 ma-na 7 GÍN ša ší-ta ta-aḫ-sí-sà-tí-a a-za-kà-ar-šu-ma i-ša-qá-lam5 IGI i-tur4-DINGIR DUMU a-mur-IŠTAR IGI a-ta-ta ḫa-pu-dim IGI a-lu-lá-a DUMU i-sá-li-a 1 ma-na 10 GÍN KÙ.BABBAR iš-tí a-lu-lá-a ù <gap>{d}UTU al-qé-ú 6 TÚG.ḪI.A qá-dum 1 TÚG ša e-na-aḫ-DINGIR i-dí-nu-ni a-na É kà-ri-im a-na mì-iš-li ša a-bi-ni a-dí-i ma-lá ta-az-me-ru-ni šu-mì a-bi-ni i-na É kà-ri-im lu-up-ta-ma ú mì-iš-li ša a-bi-a i-dí-IŠTAR ù en-na-num li-ta-dí-ú a-ba-ú-a bé-lu-a a-tù-nu ú ší-tí KÙ.BABBAR ša i É kà-ri-im i-ší-tù iḫ-da-ma ša-dí-na-šu-nu 4 ma-na KÙ.BABBAR ṣa-ru-pá-am a-ḫa-ma 1 ṭup-pu-um ša 1 ma-na KÙ.BABBAR i-na É i-<gap>,6b
4269,91aa354c-08f3-4527-9b13-ef6360b39118,Cuneiform Tablet Kt 94/k 1768 (AKT 6d 763),Kt 94/k 1768,um-ma <gap>-ma a-na ḫa-nu ù a-<gap> qí-bi-ma a-na ḫa-nu qí-bi-ma 5 ku-ta-ni a-na 0.66666 ma-na LÁ 2 GÍN KÙ.BABBAR a-dí-na-kum ki-ma 0.33333 ma-na LÁ 2 GÍN KÙ.BABBAR a-bu-kà i-dí-nam 0.33333 ma-na a-na É kà-ri-im i-dí-in a-ma-kam a-na a-bi-kà ta-er a-ḫa-am-ma 1 ku-sí-tám SIG5 iš-tù MU.1.ŠÈ a-dí-na-kum 0.33333 ma-na 5 GÍN KÙ.BABBAR ší-im-ša,6d
4270,922e3b43-f85a-4645-8f95-31d1c9a181b9,Cuneiform Tablet Kt 94/k 593a (AKT 6b 413),Kt 94/k 593a,KIŠIB tù-ra-mì-ili5 a-na en-um-a-šùr ù šu-ku-bi-im DUMU en-na-ma-nim,6b
4271,925ebf7b-984d-4173-8fe2-814fdb3520f5,Cuneiform Tablet Kt 94/k 1617 (AKT 6e 1118),Kt 94/k 1617,<gap> GÍN KÙ.BABBAR i li-bi e-wa-ri-mu-ša 10 GÍN KÙ.BABBAR i li-bi a-mur-IŠTAR 10 GÍN KÙ.BABBAR i li-bi a-lu-wa 7.5 GÍN KÙ.BABBAR i li-bi ki-zi 16.5 GÍN KÙ.BABBAR i li-bi ú-šu-ḫa-ta 13.5 GÍN KÙ.BABBAR i li-bi a-ra-ša i-na ša tù-ùḫ-tù-ḫa-ni i-ša-qal,6e
